Cena mieszkania;Powierzchnia;Miasto;Pokoje;Rok budowy
436 000;34.43;Poznan;1;2010
540 320;49.12;Poznan;2;1999
470 000;42;Poznan;2;1974
340 000;27.50;Poznan;1;1961
450 000;31.6 ;Poznan;2;2020
579 900;64.9 ;Poznan;4;1970
599 000;58.78 ;Poznan;3;1962
520 000;67;Poznan;6;1980
393 120;37.44 ;Poznan;1;1999
790 000;60.12 ;Poznan;3;2025
595 000;52;Poznan;3;1989
447125;35.77 ;Poznan;2;2025
489 000;59.1 ;Poznan;3;1986
540 000;47.3 ;Poznan;3;1968
490 000;53;Poznan;3;1978
419 000;38.1;Poznan;2;1978
549 000;63.7;Poznan;3;1968
700 000;63.9 ;Poznan;5;1979
581 162;62.09 ;Poznan;3;2025
538 400;62.7 ;Poznan;3;1980
654000;60;Katowice;3;2025
555000;74;Katowice;3;2021
578000;60;Katowice;3;1980
345000;47;Katowice;2;1995
285000;37;Katowice;2;2001
579000;90;Katowice;3;1930
716000;73.75;Katowice;3;2024
827000;84;Katowice;4;2025
428000;40;Katowice;2;2025
515000;48;Katowice;3;1975
819000;55;Katowice;3;2023
365000;48;Katowice;2;1990
659000;56;Katowice;3;2020
370000;28;Katowice;1;2023
690000;55;Katowice;2;2019
470000;56;Katowice;3;1977
396700;26;Katowice;2;2025
290000;35.74;Katowice;2;1930
429000;31;Katowice;2;2020
675000;39;Katowice;2;2025
415000;46.8;Gliwice;3;1960
519000;96;Gliwice;3;1900
530264;44.56;Gliwice;2;2025
360000;48;Gliwice;3;1974
390000;52;Gliwice;3;1980
531298;65.27;Gliwice;4;2025
449000;73.2;Gliwice;3;1940
509000;45;Gliwice;2;2023
1090000;63.87;Gliwice;3;2022
341250;37.02;Gliwice;2;2025
531298;65.27;Gliwice;4;2025
510000;59;Gliwice;3;1985
1170000;74.11;Gliwice;3;2021
535000;107;Gliwice;3;1939
590000;100;Gliwice;3;1904
224000;18.70;Gliwice;1;2023
564060;47.4;Gliwice;2;2025
442986;43.86;Gliwice;2;2024
462816;48.21;Gliwice;3;2025
319000;46.4;Gliwice;2;1980
765900;53.5;Warszawa;3;2023
379000;25;Warszawa;1;2023
1500000;69;Warszawa;3;2020
1703000;106.5;Warszawa;5;1998
899999;52;Warszawa;3;2015
299000;24.80;Warszawa;1;2023
555000;34.3;Warszawa;2;1955
520000;38;Warszawa;2;1980
740000;55.9;Warszawa;3;2005
780000;38.17;Warszawa;2;2026
925000;47;Warszawa;3;2000
760625;60.85;Warszawa;3;2024
960000;47.8;Warszawa;2;1936
940000;54;Warszawa;3;1978
1326000;57;Warszawa;3;2025
609000;35;Warszawa;2;2013
949000;72.2;Warszawa;3;1990
1750000;114.57;Warszawa;4;1997
890000;53.4;Warszawa;3;1972
649000;47;Warszawa;3;1960
829000;54.1;Warszawa;3;1990
